PathwayName	PathwayID
CREB phosphorylation through the activation of CaMKII	REACT:R-HSA-442729
CREB phosphorylation through the activation of CaMKK	REACT:R-HSA-442717
CREB phosphorylation through the activation of Ras	REACT:R-HSA-442742
CRMPs in Sema3A signaling	REACT:R-HSA-399956
cRNA Synthesis	REACT:R-HSA-192869
Crosslinking of collagen fibrils	REACT:R-HSA-2243919
Cross-presentation of particulate exogenous antigens (phagosomes)	REACT:R-HSA-1236973
Cross-presentation of soluble exogenous antigens (endosomes)	REACT:R-HSA-1236978
CS/DS degradation	REACT:R-HSA-2024101
c-src mediated regulation of Cx43 function and closure of gap junctions	REACT:R-HSA-191647
CTLA4 inhibitory signaling	REACT:R-HSA-389513
C-type lectin receptors (CLRs)	REACT:R-HSA-5621481
Cul3-SPOP complex	KEGG:hsa_M00384
Cul4-DDB1-CSA complex	KEGG:hsa_M00386
Cul4-DDB1-DDB2 complex	KEGG:hsa_M00385
Cyclin A/B1 associated events during G2/M transition	REACT:R-HSA-69273
Cyclin A:Cdk2-associated events at S phase entry	REACT:R-HSA-69656
Cyclin B2 mediated events	REACT:R-HSA-157881
Cyclin D associated events in G1	REACT:R-HSA-69231
Cyclin E associated events during G1/S transition	REACT:R-HSA-69202
CYP2E1 reactions	REACT:R-HSA-211999
Cysteine and methionine metabolism	KEGG:hsa00270
Cysteine biosynthesis, homocysteine + serine => cysteine	KEGG:hsa_M00338
Cysteine formation from homocysteine	REACT:R-HSA-1614603
Cytochrome bc1 complex	KEGG:hsa_M00152
Cytochrome bc1 complex respiratory unit	KEGG:hsa_M00151
Cytochrome c-mediated apoptotic response	REACT:R-HSA-111461
Cytochrome c oxidase	KEGG:hsa_M00154
Cytochrome P450 - arranged by substrate type	REACT:R-HSA-211897
Cytokine-cytokine receptor interaction	KEGG:hsa04060
Cytokine Signaling in Immune system	REACT:R-HSA-1280215
Cytosolic DNA-sensing pathway	KEGG:hsa04623
Cytosolic iron-sulfur cluster assembly	REACT:R-HSA-2564830
Cytosolic sensors of pathogen-associated DNA	REACT:R-HSA-1834949
Cytosolic sulfonation of small molecules	REACT:R-HSA-156584
